Index,orientation_ego,velocity_ego,orientation_ped,velocity_ped,Fitness_Min Adapted Distance,Fitness_Velocity At Min Adapted Distance
0,93.031367,2.421090,230.561961,2.582142,-0.727362,-2.421090
1,39.833228,2.703710,325.901366,2.541820,-0.689566,-2.703710
2,93.031367,2.421090,230.561961,2.582142,-0.727362,-2.421090
3,39.833228,2.703710,325.901366,2.541820,-0.689566,-2.703710
4,93.031367,2.421090,230.561961,2.582142,-0.727362,-2.421090
5,39.833228,2.703710,325.901366,2.541820,-0.689566,-2.703710
6,39.833228,2.703710,325.901366,2.541820,-0.689566,-2.703710
7,93.031367,2.420115,230.548021,2.684839,-0.946479,-2.420115
8,93.031367,2.426063,230.561961,2.582142,-0.850167,-2.426063
9,115.372173,1.889505,216.837486,2.425113,-0.972913,-1.889505
10,93.031367,2.421090,230.561961,2.582142,-0.727362,-2.421090
11,84.316134,1.757974,245.066324,2.857866,-0.813677,-1.757974
12,43.529830,1.634848,295.040904,2.519066,-0.889402,-1.634848
13,39.833228,2.703710,325.901366,2.541820,-0.689566,-2.703710
14,93.031367,2.420115,230.548021,2.684839,-0.946479,-2.420115
15,93.031367,2.426063,230.561961,2.582142,-0.850167,-2.426063
16,115.372173,1.889505,216.837486,2.425113,-0.972913,-1.889505
17,93.031367,2.417047,230.548021,2.684839,-0.953898,-2.417047
18,39.843339,2.703710,326.434382,2.521387,-0.640987,-2.703710
19,93.031367,2.421090,230.561961,2.582142,-0.727362,-2.421090
20,84.316134,1.757974,245.066324,2.857866,-0.813677,-1.757974
21,43.529830,1.634848,295.040904,2.519066,-0.889402,-1.634848
22,21.065197,2.271755,327.193677,2.496903,-0.705568,-2.271755
23,93.031367,2.420115,230.548021,2.684839,-0.946479,-2.420115
24,93.031367,2.426063,230.561961,2.582142,-0.850167,-2.426063
25,115.372173,1.889505,216.837486,2.425113,-0.972913,-1.889505
26,93.031367,2.417047,230.548021,2.684839,-0.953898,-2.417047
27,39.843339,2.780423,326.434382,2.652239,-0.815859,-2.780423
28,93.031367,2.413715,230.561961,2.582142,-0.935552,-2.413715
29,39.833228,2.723974,325.901366,2.541820,-0.734539,-2.723974
30,93.031367,2.421090,230.561961,2.572607,-0.752155,-2.421090
31,93.031367,2.387097,230.561961,2.582142,-0.908207,-2.387097
32,43.529830,1.634848,295.109868,2.519066,-0.926982,-1.634848
33,39.833228,2.703710,325.901366,2.541820,-0.689566,-2.703710
34,93.031367,2.421090,230.561961,2.582142,-0.727362,-2.421090
35,93.031367,1.969446,230.266687,2.415137,-0.894062,-1.969446
36,39.843339,2.703710,326.434382,2.521387,-0.640987,-2.703710
37,21.065197,2.271755,327.193677,2.496903,-0.705568,-2.271755
38,84.316134,1.757974,245.066324,2.857866,-0.813677,-1.757974
39,43.529830,1.634848,295.040904,2.519066,-0.889402,-1.634848
40,115.372173,1.889505,216.844319,2.444774,-0.802110,-1.889505
41,93.031367,2.420115,230.548021,2.684839,-0.946479,-2.420115
42,93.031367,2.426063,230.561961,2.582142,-0.850167,-2.426063
43,115.372173,1.889505,216.837486,2.425113,-0.972913,-1.889505
44,93.031367,2.417047,230.548021,2.684839,-0.953898,-2.417047
45,39.843339,2.780423,326.434382,2.652239,-0.815859,-2.780423
46,43.529830,1.634848,295.041765,2.519066,-0.986378,-1.634848
47,93.031367,2.421090,230.373670,2.541341,-0.914099,-2.421090
48,93.031367,2.413715,230.561961,2.582142,-0.935552,-2.413715
49,39.833228,2.723974,325.901366,2.541820,-0.734539,-2.723974
50,39.843339,2.780161,326.434382,2.652239,-0.688589,-2.780161
51,93.031367,2.421090,230.561961,2.573075,-0.851253,-2.421090
52,93.031367,2.420204,230.547907,2.579868,-0.862374,-2.420204
53,93.031367,2.387097,230.561961,2.582142,-0.908207,-2.387097
54,43.529830,1.634848,295.109868,2.519066,-0.926982,-1.634848
55,39.833228,2.703710,325.901366,2.541820,-0.689566,-2.703710
