n_evals,hv_all
30,0.0
60,0.0
90,0.0
120,0.0
150,0.0
180,0.007317305030777025
210,0.007317305030777025
240,0.007317305030777025
270,0.007317305030777025
300,0.007317305030777025
330,0.020100000000000017
360,0.020100000000000017
390,0.020100000000000017
420,0.020100000000000017
450,0.020100000000000017
480,0.020100000000000017
510,0.020100000000000017
540,0.020100000000000017
570,0.020100000000000017
600,0.020100000000000017
630,0.020100000000000017
660,0.020100000000000017
690,0.020100000000000017
720,0.020100000000000017
750,0.020100000000000017
780,0.020100000000000017
810,0.020100000000000017
840,0.020100000000000017
870,0.020100000000000017
900,0.020100000000000017
930,0.020100000000000017
960,0.020100000000000017
990,0.020100000000000017
1020,0.020100000000000017
1050,0.020100000000000017
1080,0.020100000000000017
1110,0.020100000000000017
1140,0.020100000000000017
1170,0.020100000000000017
1200,0.020100000000000017
1230,0.020100000000000017
1260,0.020100000000000017
1290,0.020100000000000017
