Index,PedestrianSpeed,FinalHostSpeed,PedestrianEgoDistanceStartWalk,Min distance,Velocity at min distance
0,0.551775,19.080164,49.520474,0.349462,-5.960930
1,1.451062,79.462328,8.003633,2.472819,-1.749533
2,0.795226,32.499547,37.812263,2.539285,-3.908470
3,2.475694,62.335983,49.676521,2.278762,-0.020510
4,0.808979,37.919064,9.441015,2.255356,-0.020507
5,1.067508,76.208483,15.533824,2.936127,-4.618802
6,1.945653,39.894016,41.669847,2.693830,-1.749533
7,2.218149,73.573007,27.909758,2.399910,-0.020507
8,0.922290,33.879829,47.930271,2.941584,-1.920382
9,0.633114,45.116836,19.884133,1000.000000,1000.000000
10,1.608978,78.931806,12.798725,1000.000000,1000.000000
11,2.973352,70.882900,4.950894,1000.000000,1000.000000
12,0.540780,25.559299,19.954408,1000.000000,1000.000000
13,1.680225,12.116870,48.706003,1000.000000,1000.000000
14,0.967659,20.561680,41.091092,1000.000000,1000.000000
15,2.455636,22.001436,8.936270,1000.000000,1000.000000
16,1.753883,79.762940,30.110888,1000.000000,1000.000000
17,1.513647,7.480116,38.519855,1000.000000,1000.000000
18,2.180560,28.045306,36.261025,1000.000000,1000.000000
19,1.544093,53.960736,42.986330,1000.000000,1000.000000
20,0.551775,19.080164,49.520474,0.349462,-5.960930
21,0.821739,32.690494,48.706003,0.349462,-5.960930
22,1.451062,79.462328,8.003633,2.472819,-1.749533
23,0.795226,32.499547,37.812263,2.539285,-3.908470
24,2.475694,62.335983,49.676521,2.278762,-0.020510
25,1.067508,76.208483,15.533824,2.936127,-4.618802
26,0.540780,25.559299,9.528485,2.214972,-0.020507
27,1.653712,11.925924,37.812263,2.472819,-1.749533
28,0.922290,33.879829,47.930271,2.941584,-1.920382
29,0.808979,37.919064,9.441015,2.255356,-0.020507
30,1.883466,40.105543,41.669847,2.616099,-1.749533
31,0.795226,32.499547,38.032718,2.373429,-0.020507
32,1.945653,39.894016,41.669847,2.693830,-1.749533
33,2.218149,73.573007,27.909758,2.399910,-0.020507
34,0.505068,19.080164,16.061639,1000.000000,1000.000000
35,2.455636,22.001436,8.936270,1000.000000,1000.000000
36,1.390853,79.462328,8.003633,1000.000000,1000.000000
37,1.327648,34.334454,15.357649,1000.000000,1000.000000
38,1.753883,79.762940,30.110888,1000.000000,1000.000000
39,1.680225,12.116870,48.706003,1000.000000,1000.000000
40,0.551775,19.080164,49.520474,0.349462,-5.960930
41,0.821739,32.690494,48.706003,0.349462,-5.960930
42,0.532862,25.559299,8.979782,0.349462,-5.960930
43,0.795226,32.499547,37.812263,2.539285,-3.908470
44,1.067508,76.208483,15.533824,2.936127,-4.618802
45,0.802396,32.690494,27.336601,0.413079,-3.660447
46,1.948870,48.588051,41.669847,2.597361,-3.908470
47,1.451062,79.462328,8.003633,2.472819,-1.749533
48,2.475694,62.335983,49.676521,2.278762,-0.020510
49,0.540780,25.559299,9.528485,2.214972,-0.020507
50,1.653712,11.925924,37.812263,2.472819,-1.749533
51,0.922290,33.879829,47.930271,2.941584,-1.920382
52,2.399995,62.335983,52.901868,3.202049,-2.380128
53,0.808979,37.919064,9.441015,2.255356,-0.020507
54,1.883466,40.105543,41.669847,2.616099,-1.749533
55,0.795226,32.499547,38.032718,2.373429,-0.020507
56,1.945653,39.894016,41.669847,2.693830,-1.749533
57,2.218149,73.573007,27.909758,2.399910,-0.020507
58,1.321857,34.334454,13.224442,2.697924,-1.749533
59,2.237508,73.573007,49.279160,1000.000000,1000.000000
60,0.551775,19.080164,49.520474,0.349462,-5.960930
61,0.821739,32.690494,48.706003,0.349462,-5.960930
62,0.532862,25.559299,8.979782,0.349462,-5.960930
63,0.795226,32.499547,37.812263,2.539285,-3.908470
64,1.067508,76.208483,15.533824,2.936127,-4.618802
65,0.802396,32.690494,27.336601,0.413079,-3.660447
66,1.948870,48.588051,41.669847,2.597361,-3.908470
67,2.475694,62.335983,49.676521,2.278762,-0.020510
68,0.540780,25.559299,9.528485,2.214972,-0.020507
69,0.526565,32.690494,47.127911,2.437289,-1.749533
70,0.922290,33.879829,47.930271,2.941584,-1.920382
71,1.070887,62.345876,15.533824,3.030080,-3.375334
72,0.808979,37.919064,9.441015,2.255356,-0.020507
73,1.451062,79.462328,8.003633,2.472819,-1.749533
74,1.653712,11.925924,37.812263,2.472819,-1.749533
75,0.533053,19.080164,9.134023,3.195065,-2.380128
76,0.795226,32.499547,38.032718,2.373429,-0.020507
77,1.067508,31.736316,15.533824,2.612846,-1.749533
78,2.396616,76.198573,52.901868,2.399739,-0.020507
79,2.399995,62.335983,52.901868,3.202049,-2.380128
