Index,X0,X1,Fitness_F0,Fitness_F1
0,0.000000,0.000000,0.000000,50.000000
1,0.555556,0.000000,1.234568,44.753086
2,0.555556,0.333333,1.679012,41.530864
3,0.555556,0.666667,3.012346,38.530864
4,1.111111,0.666667,6.716049,33.901235
5,0.555556,1.000000,5.234568,35.753086
6,1.111111,1.000000,8.938272,31.123457
7,1.666667,1.000000,15.111111,27.111111
8,0.555556,1.333333,8.345679,33.197531
9,1.111111,1.333333,12.049383,28.567901
10,1.666667,1.333333,18.222222,24.555556
11,2.222222,1.333333,26.864198,21.160494
12,1.111111,1.666667,16.049383,26.234568
13,1.666667,1.666667,22.222222,22.222222
14,2.222222,1.666667,30.864198,18.827160
15,1.111111,2.000000,20.938272,24.123457
16,1.666667,2.000000,27.111111,20.111111
17,2.222222,2.000000,35.753086,16.716049
18,2.777778,2.000000,46.864198,13.938272
19,1.666667,2.333333,32.888889,18.222222
20,2.222222,2.333333,41.530864,14.827160
21,2.777778,2.333333,52.641975,12.049383
22,3.333333,2.333333,66.222222,9.888889
23,1.666667,2.666667,39.555556,16.555556
24,2.222222,2.666667,48.197531,13.160494
25,2.777778,2.666667,59.308642,10.382716
26,3.333333,2.666667,72.888889,8.222222
27,3.888889,2.666667,88.938272,6.679012
28,2.222222,3.000000,55.753086,11.716049
29,2.777778,3.000000,66.864198,8.938272
30,3.333333,3.000000,80.444444,6.777778
31,3.888889,3.000000,96.493827,5.234568
32,4.444444,3.000000,115.012346,4.308642
33,5.000000,3.000000,136.000000,4.000000
