Attribute,Value
Number Critical Scenarios,25
Number Critical Scenarios (duplicate free),25
Number All Scenarios,100
Number All Scenarios (duplicate free),100
Number Best Critical Scenarios,16
Number Best Critical Scenarios (duplicate free),16
Number Best Scenarios,34
Number Best Scenarios (duplicate free),34
Ratio Critical/All scenarios,0.25
Ratio Critical/All scenarios (duplicate free),0.25
Ratio Best Critical/Best Scenarios,0.47
Ratio Best Critical/Best Scenarios (duplicate free),0.47
