Index,X0,X1,Fitness_F0,Fitness_F1
0,0.555556,0.000000,1.234568,44.753086
1,0.555556,0.333333,1.679012,41.530864
2,0.555556,0.666667,3.012346,38.530864
3,1.111111,0.666667,6.716049,33.901235
4,0.555556,1.000000,5.234568,35.753086
5,1.111111,1.000000,8.938272,31.123457
6,0.555556,1.333333,8.345679,33.197531
7,2.222222,1.666667,30.864198,18.827160
8,2.222222,2.000000,35.753086,16.716049
9,1.666667,2.333333,32.888889,18.222222
10,1.666667,2.666667,39.555556,16.555556
11,3.888889,2.666667,88.938272,6.679012
12,3.333333,3.000000,80.444444,6.777778
13,3.888889,3.000000,96.493827,5.234568
14,4.444444,3.000000,115.012346,4.308642
15,5.000000,3.000000,136.000000,4.000000
16,1.111111,0.000000,4.938272,40.123457
17,1.111111,0.333333,5.382716,36.901235
18,2.777778,1.333333,37.975309,18.382716
19,4.444444,2.666667,107.456790,5.753086
20,5.000000,2.666667,128.444444,5.444444
21,0.000000,0.333333,0.444444,46.777778
22,0.000000,0.666667,1.777778,43.777778
23,0.000000,1.000000,4.000000,41.000000
24,0.000000,1.333333,7.111111,38.444444
