Index,X0,X1,F0,F1,Critical
0,2.315896,2.975606,56.870403,11.302589,0
1,2.959908,2.367548,57.465349,11.091780,0
2,4.891308,2.690135,124.646885,5.347290,1
3,2.218088,2.165176,38.431610,15.775260,1
4,2.457100,0.185240,24.286609,29.648253,0
5,3.464636,2.320056,69.545436,9.539446,0
6,2.291174,2.345152,42.996860,14.385958,0
7,1.149723,0.174226,5.408867,38.112730,1
8,1.024396,0.708107,6.203207,34.225777,1
9,0.822655,2.687176,31.590702,22.799370,0
10,0.980300,0.928293,7.290861,32.736789,1
11,1.005221,0.747331,6.275895,34.043448,1
12,1.844578,2.951082,48.445421,14.154750,0
13,3.891969,2.221613,80.331941,8.947169,0
14,3.559522,2.335566,72.500252,9.174187,0
15,3.710057,1.760114,67.450095,12.160814,0
16,1.175195,2.934411,39.967412,18.895787,1
17,3.663674,2.028917,70.156058,10.613100,0
18,3.621513,0.915461,55.813715,18.583683,0
19,4.066675,2.042143,82.832787,9.620012,0
20,3.707662,0.082137,55.014023,25.855515,0
21,4.623981,0.292637,85.867355,22.300654,0
22,4.695942,0.815650,90.868630,17.601235,0
23,0.621060,2.421923,25.005705,25.821598,0
24,0.612060,2.475001,26.000992,25.629639,0
25,0.116381,1.586173,10.117960,35.503951,0
26,0.309472,2.880337,33.568458,26.494021,0
