Index,orientation_ego,velocity_ego,orientation_ped,velocity_ped,Fitness_Min distance,Fitness_Velocity at min distance
0,60.198240,2.120980,253.280352,1.789200,0.276967,-2.120980
1,60.198240,2.120980,253.280352,1.789200,0.276967,-2.120980
2,60.198240,2.120980,253.280352,1.789200,0.276967,-2.120980
3,60.198240,2.120980,253.280352,1.789200,0.276967,-2.120980
4,60.198240,2.120980,253.280352,1.789200,0.276967,-2.120980
5,60.198240,2.120980,253.280352,1.789200,0.276967,-2.120980
6,60.198240,2.120980,253.280352,1.789200,0.276967,-2.120980
7,59.509517,2.138915,253.133078,1.789200,0.287965,-2.138915
8,45.817162,2.861487,275.473325,2.000724,0.248339,-2.861487
9,46.009516,2.878033,276.106682,1.982133,0.263614,-2.878033
10,60.198240,2.120980,253.280352,1.789200,0.276967,-2.120980
11,59.509517,2.138915,253.133078,1.789200,0.287965,-2.138915
12,45.817162,2.861487,275.473325,2.000724,0.248339,-2.861487
13,95.150845,2.818779,172.560288,1.411163,0.181938,-2.818779
14,46.009516,2.888700,276.106682,1.982133,0.260199,-2.888700
15,60.520626,2.253714,253.854507,1.789438,0.213144,-2.253714
16,46.009516,2.878033,276.106682,1.982133,0.263614,-2.878033
17,60.198240,2.120980,253.280352,1.789200,0.276967,-2.120980
18,59.509517,2.138915,253.133078,1.789200,0.287965,-2.138915
19,82.037077,2.831200,224.564300,2.003932,0.176254,-2.831200
20,46.725486,2.936202,276.106682,1.981665,0.224476,-2.936202
21,95.150845,2.818779,172.560288,1.411163,0.181938,-2.818779
22,45.817162,2.861487,275.473325,2.000724,0.248339,-2.861487
23,46.009516,2.888700,276.106682,1.982133,0.260199,-2.888700
24,45.817162,2.915100,275.473325,2.000724,0.283932,-2.915100
25,60.520626,2.253714,253.854507,1.789438,0.213144,-2.253714
26,46.009516,2.878033,276.106682,1.982133,0.263614,-2.878033
27,60.198240,2.120980,253.280352,1.789200,0.276967,-2.120980
28,59.509517,2.138915,253.133078,1.789200,0.287965,-2.138915
29,82.037077,2.831200,224.564300,2.003932,0.176254,-2.831200
30,46.725486,2.936202,276.106682,1.981665,0.224476,-2.936202
31,46.009516,2.961307,276.029453,2.036228,0.290970,-2.961307
32,95.150845,2.818779,172.560288,1.411163,0.181938,-2.818779
33,82.037077,2.831200,224.564300,2.003883,0.200428,-2.831200
34,45.817162,2.829600,275.473325,2.000724,0.196506,-2.829600
35,45.817162,2.861487,275.473325,2.000774,0.227719,-2.861487
36,46.007582,2.915211,276.083337,2.000889,0.258633,-2.915211
37,60.520626,2.253714,253.340879,1.786563,0.200826,-2.253714
38,45.817162,2.861487,275.473325,2.000724,0.248339,-2.861487
39,46.009516,2.888700,276.106682,1.982133,0.260199,-2.888700
40,45.817162,2.915100,275.473325,2.000724,0.283932,-2.915100
