Index,orientation_ego,velocity_ego,orientation_ped,velocity_ped,Min distance,Velocity at min distance,Critical
0,32.237850,2.878033,278.177099,2.003932,1.540647,-2.878033,0
1,60.428356,2.120980,171.889343,1.411371,5.160343,-2.120980,0
2,27.179996,2.129477,181.911811,2.598921,7.211808,-2.129477,0
3,46.086258,2.001550,224.304274,1.281487,3.593786,-2.001550,0
4,54.288006,1.723014,174.743176,2.795793,7.006282,-1.723014,0
5,108.531402,2.887211,65.823828,1.926667,1000.000000,1000.000000,0
6,76.849347,1.275189,110.963267,1.788055,1000.000000,1000.000000,0
7,255.490940,2.446043,149.934451,1.060806,1000.000000,1000.000000,0
8,34.413860,2.277312,62.008137,1.550019,1000.000000,1000.000000,0
9,260.515944,2.496497,144.620692,2.502444,1000.000000,1000.000000,0
10,144.332434,2.543828,43.305256,1.784820,1000.000000,1000.000000,0
11,17.970840,1.451894,122.884560,1.737839,1000.000000,1000.000000,0
12,123.832771,2.261409,359.970739,1.879475,1000.000000,1000.000000,0
13,297.278436,1.925514,125.574967,1.924519,1000.000000,1000.000000,0
14,71.862534,2.063050,262.019044,1.802811,1000.000000,1000.000000,0
15,130.818462,1.053759,112.685336,2.603587,1000.000000,1000.000000,0
16,15.588173,2.733929,55.724048,2.281599,1000.000000,1000.000000,0
17,313.671301,1.099278,301.713032,1.289573,1000.000000,1000.000000,0
18,44.971632,2.757175,298.239527,2.108631,1000.000000,1000.000000,0
19,252.095224,2.709768,241.082310,2.373782,1000.000000,1000.000000,0
20,80.867835,2.527728,257.357997,2.291155,1000.000000,1000.000000,0
21,73.192810,2.273142,53.728440,2.474684,1000.000000,1000.000000,0
22,138.944397,1.464309,244.410168,1.908128,1000.000000,1000.000000,0
23,211.441925,1.404188,93.198960,1.336228,1000.000000,1000.000000,0
24,296.229212,2.997938,325.808340,1.873274,1000.000000,1000.000000,0
25,116.280487,2.864090,245.490801,2.271714,1000.000000,1000.000000,0
26,70.267306,2.169210,119.013895,2.150845,1000.000000,1000.000000,0
27,268.787595,1.432316,277.630263,2.137325,1000.000000,1000.000000,0
28,66.958044,2.258560,304.643529,1.059617,1000.000000,1000.000000,0
29,303.427188,2.230419,327.351256,2.605760,1000.000000,1000.000000,0
30,266.877235,2.819431,284.565155,1.631477,1000.000000,1000.000000,0
31,260.652295,1.072344,92.134442,2.955201,1000.000000,1000.000000,0
32,313.264211,2.819655,329.222869,1.670993,1000.000000,1000.000000,0
