Attribute,Value
Id,5667c259-de6a-4586-858d-6c7fe45e7a39
Timestamp,02-02-2024_16:11:43
Problem,DummySimulatorProblem
Algorithm,NSGA2
Search variables,"['orientation_ego', 'velocity_ego', 'orientation_ped', 'velocity_ped']"
Search space,"[(0.0, 360.0), (1.0, 3.0), (0.0, 360.0), (1.0, 3.0)]"
Fitness function,FitnessMinDistanceVelocityFrontOnly
Critical function,CriticalAdasDistanceVelocity
Search time,9.11 sec
Population size,50
Number of generations,20
Number of offsprings,None
Crossover probability,0.7
Crossover eta,20
Mutation probability,0.25
Mutation eta,15
