Index,X0,X1,F0,F1,Critical
0,0.000000,0.000000,0.000000,50.000000,0
1,0.172414,0.000000,0.118906,48.305589,1
2,0.172414,0.103448,0.161712,47.281807,1
3,0.172414,0.206897,0.290131,46.279429,1
4,0.344828,0.206897,0.646849,44.644471,1
5,0.172414,0.310345,0.504162,45.298454,1
6,0.344828,0.310345,0.860880,43.663496,1
7,0.517241,0.310345,1.455410,42.087990,1
8,0.172414,0.413793,0.803805,44.338882,1
9,0.344828,0.413793,1.160523,42.703924,1
10,0.517241,0.413793,1.755054,41.128419,1
11,0.689655,0.413793,2.587396,39.612366,1
12,0.344828,0.517241,1.545779,41.765755,1
13,0.517241,0.517241,2.140309,40.190250,1
14,0.689655,0.517241,2.972652,38.674197,1
15,0.344828,0.620690,2.016647,40.848989,1
16,0.517241,0.620690,2.611177,39.273484,1
17,0.689655,0.620690,3.443520,37.757432,1
18,0.862069,0.620690,4.513674,36.300832,1
19,0.344828,0.724138,2.573127,39.953627,1
20,0.517241,0.724138,3.167658,38.378121,1
21,0.689655,0.724138,4.000000,36.862069,1
22,0.862069,0.724138,5.070155,35.405470,1
23,1.034483,0.724138,6.378121,34.008323,1
24,0.517241,0.827586,3.809750,37.504162,1
25,0.689655,0.827586,4.642093,35.988109,1
26,0.862069,0.827586,5.712247,34.531510,1
27,1.034483,0.827586,7.020214,33.134364,1
28,0.689655,0.931034,5.369798,35.135553,1
29,0.862069,0.931034,6.439952,33.678954,1
30,1.034483,0.931034,7.747919,32.281807,1
31,1.206897,0.931034,9.293698,30.944114,1
32,0.689655,1.034483,6.183115,34.304400,1
33,0.862069,1.034483,7.253270,32.847800,1
34,1.034483,1.034483,8.561237,31.450654,1
35,1.206897,1.034483,10.107015,30.112961,0
36,1.379310,1.034483,11.890606,28.834721,0
37,0.862069,1.137931,8.152200,32.038050,1
38,1.034483,1.137931,9.460166,30.640904,1
39,1.206897,1.137931,11.005945,29.303210,0
40,1.379310,1.137931,12.789536,28.024970,0
41,1.551724,1.137931,14.810939,26.806183,0
42,0.862069,1.241379,9.136742,31.249703,1
43,1.034483,1.241379,10.444709,29.852556,0
44,1.206897,1.241379,11.990488,28.514863,0
45,1.379310,1.241379,13.774078,27.236623,0
46,1.551724,1.241379,15.795482,26.017836,0
47,1.034483,1.344828,11.514863,29.085612,0
48,1.206897,1.344828,13.060642,27.747919,0
49,1.379310,1.344828,14.844233,26.469679,0
50,1.551724,1.344828,16.865636,25.250892,0
51,1.724138,1.344828,19.124851,24.091558,0
52,1.034483,1.448276,12.670630,28.340071,0
53,1.206897,1.448276,14.216409,27.002378,0
54,1.379310,1.448276,16.000000,25.724138,0
55,1.551724,1.448276,18.021403,24.505351,0
56,1.724138,1.448276,20.280618,23.346017,0
57,1.896552,1.448276,22.777646,22.246136,0
58,1.206897,1.551724,15.457788,26.278240,0
59,1.379310,1.551724,17.241379,25.000000,0
60,1.551724,1.551724,19.262782,23.781213,0
61,1.724138,1.551724,21.521998,22.621879,0
62,1.896552,1.551724,24.019025,21.521998,0
63,2.068966,1.551724,26.753864,20.481570,0
64,1.206897,1.655172,16.784780,25.575505,0
65,1.379310,1.655172,18.568371,24.297265,0
66,1.551724,1.655172,20.589774,23.078478,0
67,1.724138,1.655172,22.848989,21.919144,0
68,1.896552,1.655172,25.346017,20.819263,0
69,2.068966,1.655172,28.080856,19.778835,1
70,1.379310,1.758621,19.980975,23.615933,0
71,1.551724,1.758621,22.002378,22.397146,0
72,1.724138,1.758621,24.261593,21.237812,0
73,1.896552,1.758621,26.758621,20.137931,0
74,2.068966,1.758621,29.493460,19.097503,1
75,2.241379,1.758621,32.466112,18.116528,1
76,1.379310,1.862069,21.479191,22.956005,0
77,1.551724,1.862069,23.500595,21.737218,0
78,1.724138,1.862069,25.759810,20.577883,0
79,1.896552,1.862069,28.256837,19.478002,1
80,2.068966,1.862069,30.991677,18.437574,1
81,2.241379,1.862069,33.964328,17.456599,1
82,1.551724,1.965517,25.084423,21.098692,0
83,1.724138,1.965517,27.343639,19.939358,1
84,1.896552,1.965517,29.840666,18.839477,1
85,2.068966,1.965517,32.575505,17.799049,1
86,2.241379,1.965517,35.548157,16.818074,1
87,2.413793,1.965517,38.758621,15.896552,1
88,1.551724,2.068966,26.753864,20.481570,0
89,1.724138,2.068966,29.013080,19.322235,1
90,1.896552,2.068966,31.510107,18.222354,1
91,2.068966,2.068966,34.244946,17.181926,1
92,2.241379,2.068966,37.217598,16.200951,1
93,2.413793,2.068966,40.428062,15.279429,0
94,2.586207,2.068966,43.876338,14.417360,0
95,1.724138,2.172414,30.768133,18.726516,1
96,1.896552,2.172414,33.265161,17.626635,1
97,2.068966,2.172414,36.000000,16.586207,1
98,2.241379,2.172414,38.972652,15.605232,1
99,2.413793,2.172414,42.183115,14.683710,0
100,2.586207,2.172414,45.631391,13.821641,0
101,1.896552,2.275862,35.105826,17.052319,1
102,2.068966,2.275862,37.840666,16.011891,1
103,2.241379,2.275862,40.813317,15.030916,0
104,2.413793,2.275862,44.023781,14.109394,0
105,2.586207,2.275862,47.472057,13.247325,0
106,2.758621,2.275862,51.158145,12.444709,0
107,1.896552,2.379310,37.032105,16.499405,1
108,2.068966,2.379310,39.766944,15.458977,1
109,2.241379,2.379310,42.739596,14.478002,0
110,2.413793,2.379310,45.950059,13.556480,0
111,2.586207,2.379310,49.398335,12.694411,0
