Index,X0,X1,Fitness_F0,Fitness_F1
0,0.000000,0.000000,0.000000,50.000000
1,0.172414,0.000000,0.118906,48.305589
2,0.172414,0.103448,0.161712,47.281807
3,0.172414,0.206897,0.290131,46.279429
4,0.344828,0.206897,0.646849,44.644471
5,0.172414,0.310345,0.504162,45.298454
6,0.344828,0.310345,0.860880,43.663496
7,0.517241,0.310345,1.455410,42.087990
8,0.172414,0.413793,0.803805,44.338882
9,0.344828,0.413793,1.160523,42.703924
10,0.517241,0.413793,1.755054,41.128419
11,0.689655,0.413793,2.587396,39.612366
12,0.344828,0.517241,1.545779,41.765755
13,0.517241,0.517241,2.140309,40.190250
14,0.689655,0.517241,2.972652,38.674197
15,0.344828,0.620690,2.016647,40.848989
16,0.517241,0.620690,2.611177,39.273484
17,0.689655,0.620690,3.443520,37.757432
18,0.862069,0.620690,4.513674,36.300832
19,0.344828,0.724138,2.573127,39.953627
20,0.517241,0.724138,3.167658,38.378121
21,0.689655,0.724138,4.000000,36.862069
22,0.862069,0.724138,5.070155,35.405470
23,1.034483,0.724138,6.378121,34.008323
24,0.517241,0.827586,3.809750,37.504162
25,0.689655,0.827586,4.642093,35.988109
26,0.862069,0.827586,5.712247,34.531510
27,1.034483,0.827586,7.020214,33.134364
28,0.689655,0.931034,5.369798,35.135553
29,0.862069,0.931034,6.439952,33.678954
30,1.034483,0.931034,7.747919,32.281807
31,1.206897,0.931034,9.293698,30.944114
32,0.689655,1.034483,6.183115,34.304400
33,0.862069,1.034483,7.253270,32.847800
34,1.034483,1.034483,8.561237,31.450654
35,1.206897,1.034483,10.107015,30.112961
36,1.379310,1.034483,11.890606,28.834721
37,0.862069,1.137931,8.152200,32.038050
38,1.034483,1.137931,9.460166,30.640904
39,1.206897,1.137931,11.005945,29.303210
40,1.379310,1.137931,12.789536,28.024970
41,1.551724,1.137931,14.810939,26.806183
42,0.862069,1.241379,9.136742,31.249703
43,1.034483,1.241379,10.444709,29.852556
44,1.206897,1.241379,11.990488,28.514863
45,1.379310,1.241379,13.774078,27.236623
46,1.551724,1.241379,15.795482,26.017836
47,1.034483,1.344828,11.514863,29.085612
48,1.206897,1.344828,13.060642,27.747919
49,1.379310,1.344828,14.844233,26.469679
50,1.551724,1.344828,16.865636,25.250892
51,1.724138,1.344828,19.124851,24.091558
52,1.034483,1.448276,12.670630,28.340071
53,1.206897,1.448276,14.216409,27.002378
54,1.379310,1.448276,16.000000,25.724138
55,1.551724,1.448276,18.021403,24.505351
56,1.724138,1.448276,20.280618,23.346017
57,1.896552,1.448276,22.777646,22.246136
58,1.206897,1.551724,15.457788,26.278240
59,1.379310,1.551724,17.241379,25.000000
60,1.551724,1.551724,19.262782,23.781213
61,1.724138,1.551724,21.521998,22.621879
62,1.896552,1.551724,24.019025,21.521998
63,2.068966,1.551724,26.753864,20.481570
64,1.206897,1.655172,16.784780,25.575505
65,1.379310,1.655172,18.568371,24.297265
66,1.551724,1.655172,20.589774,23.078478
67,1.724138,1.655172,22.848989,21.919144
68,1.896552,1.655172,25.346017,20.819263
69,2.068966,1.655172,28.080856,19.778835
70,1.379310,1.758621,19.980975,23.615933
71,1.551724,1.758621,22.002378,22.397146
72,1.724138,1.758621,24.261593,21.237812
73,1.896552,1.758621,26.758621,20.137931
74,2.068966,1.758621,29.493460,19.097503
75,2.241379,1.758621,32.466112,18.116528
76,1.379310,1.862069,21.479191,22.956005
77,1.551724,1.862069,23.500595,21.737218
78,1.724138,1.862069,25.759810,20.577883
79,1.896552,1.862069,28.256837,19.478002
80,2.068966,1.862069,30.991677,18.437574
81,2.241379,1.862069,33.964328,17.456599
82,1.551724,1.965517,25.084423,21.098692
83,1.724138,1.965517,27.343639,19.939358
84,1.896552,1.965517,29.840666,18.839477
85,2.068966,1.965517,32.575505,17.799049
86,2.241379,1.965517,35.548157,16.818074
87,2.413793,1.965517,38.758621,15.896552
88,1.551724,2.068966,26.753864,20.481570
89,1.724138,2.068966,29.013080,19.322235
90,1.896552,2.068966,31.510107,18.222354
91,2.068966,2.068966,34.244946,17.181926
92,2.241379,2.068966,37.217598,16.200951
93,2.413793,2.068966,40.428062,15.279429
94,2.586207,2.068966,43.876338,14.417360
95,1.724138,2.172414,30.768133,18.726516
96,1.896552,2.172414,33.265161,17.626635
97,2.068966,2.172414,36.000000,16.586207
98,2.241379,2.172414,38.972652,15.605232
99,2.413793,2.172414,42.183115,14.683710
100,2.586207,2.172414,45.631391,13.821641
101,1.896552,2.275862,35.105826,17.052319
102,2.068966,2.275862,37.840666,16.011891
103,2.241379,2.275862,40.813317,15.030916
104,2.413793,2.275862,44.023781,14.109394
105,2.586207,2.275862,47.472057,13.247325
106,2.758621,2.275862,51.158145,12.444709
107,1.896552,2.379310,37.032105,16.499405
108,2.068966,2.379310,39.766944,15.458977
109,2.241379,2.379310,42.739596,14.478002
110,2.413793,2.379310,45.950059,13.556480
111,2.586207,2.379310,49.398335,12.694411
112,2.758621,2.379310,53.084423,11.891795
113,2.068966,2.482759,41.778835,14.927467
114,2.241379,2.482759,44.751486,13.946492
115,2.413793,2.482759,47.961950,13.024970
116,2.586207,2.482759,51.410226,12.162901
117,2.758621,2.482759,55.096314,11.360285
118,2.931034,2.482759,59.020214,10.617122
119,2.068966,2.586207,43.876338,14.417360
120,2.241379,2.586207,46.848989,13.436385
121,2.413793,2.586207,50.059453,12.514863
122,2.586207,2.586207,53.507729,11.652794
123,2.758621,2.586207,57.193817,10.850178
124,2.931034,2.586207,61.117717,10.107015
125,3.103448,2.586207,65.279429,9.423306
126,2.241379,2.689655,49.032105,12.947681
127,2.413793,2.689655,52.242568,12.026159
128,2.586207,2.689655,55.690844,11.164090
129,2.758621,2.689655,59.376932,10.361474
130,2.931034,2.689655,63.300832,9.618312
131,3.103448,2.689655,67.462545,8.934602
132,2.413793,2.793103,54.511296,11.558859
133,2.586207,2.793103,57.959572,10.696790
134,2.758621,2.793103,61.645660,9.894174
135,2.931034,2.793103,65.569560,9.151011
136,3.103448,2.793103,69.731272,8.467301
137,3.275862,2.793103,74.130797,7.843044
138,3.448276,2.793103,78.768133,7.278240
139,2.413793,2.896552,56.865636,11.112961
140,2.586207,2.896552,60.313912,10.250892
141,2.758621,2.896552,64.000000,9.448276
142,2.931034,2.896552,67.923900,8.705113
143,3.103448,2.896552,72.085612,8.021403
144,3.275862,2.896552,76.485137,7.397146
145,3.448276,2.896552,81.122473,6.832342
146,3.620690,2.896552,85.997622,6.326992
147,3.793103,2.896552,91.110583,5.881094
148,2.586207,3.000000,62.753864,9.826397
149,2.758621,3.000000,66.439952,9.023781
150,2.931034,3.000000,70.363853,8.280618
151,3.103448,3.000000,74.525565,7.596908
152,3.275862,3.000000,78.925089,6.972652
153,3.448276,3.000000,83.562426,6.407848
154,3.620690,3.000000,88.437574,5.902497
155,3.793103,3.000000,93.550535,5.456599
156,3.965517,3.000000,98.901308,5.070155
157,4.137931,3.000000,104.489893,4.743163
158,4.310345,3.000000,110.316290,4.475624
159,4.482759,3.000000,116.380499,4.267539
160,4.655172,3.000000,122.682521,4.118906
161,4.827586,3.000000,129.222354,4.029727
162,5.000000,3.000000,136.000000,4.000000
