Index,X0,X1,Fitness_F0,Fitness_F1
0,0.192308,0.000000,0.147929,48.113905
1,0.192308,0.115385,0.201183,46.973373
2,0.192308,0.230769,0.360947,45.859467
3,0.384615,0.230769,0.804734,44.047337
4,0.192308,0.346154,0.627219,44.772189
5,0.384615,0.346154,1.071006,42.960059
6,0.576923,0.346154,1.810651,41.221893
7,0.192308,0.461538,1.000000,43.711538
8,0.384615,0.461538,1.443787,41.899408
9,0.576923,0.461538,2.183432,40.161243
10,0.769231,0.461538,3.218935,38.497041
11,0.384615,0.576923,1.923077,40.865385
12,0.576923,0.576923,2.662722,39.127219
13,0.769231,0.576923,3.698225,37.463018
14,0.384615,0.692308,2.508876,39.857988
15,0.576923,0.692308,3.248521,38.119822
16,0.769231,0.692308,4.284024,36.455621
17,0.961538,0.692308,5.615385,34.865385
18,0.384615,0.807692,3.201183,38.877219
19,0.576923,0.807692,3.940828,37.139053
20,0.769231,0.807692,4.976331,35.474852
21,0.961538,0.807692,6.307692,33.884615
22,1.153846,0.807692,7.934911,32.368343
23,0.576923,0.923077,4.739645,36.184911
24,0.769231,0.923077,5.775148,34.520710
25,0.961538,0.923077,7.106509,32.930473
26,1.153846,0.923077,8.733728,31.414201
27,0.769231,1.038462,6.680473,33.593195
28,0.961538,1.038462,8.011834,32.002959
29,1.153846,1.038462,9.639053,30.486686
30,0.769231,1.153846,7.692308,32.692308
31,0.961538,1.153846,9.023669,31.102071
32,2.115385,1.615385,28.337278,19.776627
33,2.115385,1.730769,29.881657,19.008876
34,2.307692,1.730769,33.284024,17.936391
35,1.923077,1.846154,28.426036,19.414201
36,2.115385,1.846154,31.532544,18.267751
37,2.307692,1.846154,34.934911,17.195266
38,1.730769,1.961538,27.372781,19.920118
39,1.923077,1.961538,30.183432,18.699704
40,2.115385,1.961538,33.289941,17.553254
41,2.307692,1.961538,36.692308,16.480769
42,1.730769,2.076923,29.236686,19.232249
43,1.923077,2.076923,32.047337,18.011834
44,2.115385,2.076923,35.153846,16.865385
45,2.307692,2.076923,38.556213,15.792899
46,1.730769,2.192308,31.207101,18.571006
47,1.923077,2.192308,34.017751,17.350592
48,2.115385,2.192308,37.124260,16.204142
49,1.730769,2.307692,33.284024,17.936391
50,1.923077,2.307692,36.094675,16.715976
51,2.115385,2.307692,39.201183,15.569527
52,1.923077,2.423077,38.278107,16.107988
53,3.461538,2.884615,81.213018,6.841716
54,3.653846,2.884615,86.686391,6.286982
55,3.846154,2.884615,92.455621,5.806213
56,3.269231,3.000000,78.751479,6.995562
57,3.461538,3.000000,83.928994,6.366864
58,3.653846,3.000000,89.402367,5.812130
59,3.846154,3.000000,95.171598,5.331361
60,4.038462,3.000000,101.236686,4.924556
61,4.230769,3.000000,107.597633,4.591716
62,4.423077,3.000000,114.254438,4.332840
63,4.615385,3.000000,121.207101,4.147929
64,4.807692,3.000000,128.455621,4.036982
65,5.000000,3.000000,136.000000,4.000000
66,0.384615,0.000000,0.591716,46.301775
67,0.384615,0.115385,0.644970,45.161243
68,0.576923,0.115385,1.384615,43.423077
69,0.576923,0.000000,1.331361,44.563609
