Index,X0,X1,Fitness_F0
0,1.008799,0.052354,1.571874
1,1.008799,0.052354,1.571874
2,1.008799,0.052354,1.571874
3,1.008799,0.052354,1.571874
4,0.995076,0.011268,1.020140
5,1.008799,0.052354,1.571874
6,0.995076,0.011268,1.020140
7,1.008799,0.052354,1.571874
8,0.995076,0.011268,1.020140
9,1.008799,0.052354,1.571874
10,0.928258,0.018744,1.930158
11,0.027273,0.014625,0.189619
12,0.995076,0.011268,1.020140
13,1.008799,0.052354,1.571874
14,-0.019518,-0.043293,0.445055
15,0.928258,0.018744,1.930158
16,0.027273,0.014625,0.189619
17,0.995076,0.011268,1.020140
18,-0.007632,-0.006146,0.019047
19,0.983366,0.009007,1.037666
20,-0.019518,-0.043293,0.445055
21,0.928258,0.018744,1.930158
22,0.027273,0.014625,0.189619
23,0.995076,0.011268,1.020140
24,-0.049467,0.083682,1.839327
25,-0.007632,-0.006146,0.019047
26,0.006253,0.065149,0.838168
27,0.983366,0.009007,1.037666
28,-0.019518,-0.043293,0.445055
29,0.928258,0.018744,1.930158
30,0.027273,0.014625,0.189619
31,0.995076,0.011268,1.020140
32,-0.008163,-0.066336,0.873741
33,-0.007632,-0.006146,0.019047
34,0.049461,0.019148,0.554127
35,0.006253,0.065149,0.838168
36,0.983366,0.009007,1.037666
37,-0.019518,-0.043293,0.445055
38,0.928258,0.018744,1.930158
39,0.027273,0.014625,0.189619
40,0.995076,0.011268,1.020140
41,-0.072798,0.023808,1.145507
42,0.008329,-0.011505,0.040008
43,-0.007632,-0.006146,0.019047
44,0.049461,0.019148,0.554127
45,0.006253,0.065149,0.838168
46,0.983366,0.009007,1.037666
47,-0.019518,-0.043293,0.445055
48,0.928258,0.018744,1.930158
49,0.027273,0.014625,0.189619
50,0.995076,0.011268,1.020140
51,-0.072798,0.023808,1.145507
52,0.008329,-0.011505,0.040008
53,-0.007632,-0.006146,0.019047
54,0.049461,0.019148,0.554127
55,0.006253,0.065149,0.838168
56,0.983366,0.009007,1.037666
57,0.075141,-0.027941,1.254101
58,-0.019518,-0.043293,0.445055
59,1.038847,-0.017615,1.437101
60,0.006066,0.001062,0.007523
61,0.026813,-0.009145,0.158880
62,0.995076,0.011268,1.020140
63,-0.072798,0.023808,1.145507
64,0.008329,-0.011505,0.040008
65,-0.007632,-0.006146,0.019047
66,-0.002468,-0.049542,0.484239
67,0.008905,0.016559,0.070075
68,0.006253,0.065149,0.838168
